target	model_class	lead	n_train	n_features	artifact_size_kb	elapsed_sec	status	error
uv	HGB	1	76245	24	721.6	2.56	ok	
uv	HGB	2	76245	24	720.9	2.48	ok	
uv	HGB	3	76245	24	625.1	2.33	ok	
uv	HGB	4	76245	24	721.6	2.53	ok	
uv	HGB	5	76245	24	721.0	2.72	ok	
uv	HGB	6	76245	24	723.3	2.76	ok	
uv	HGB	7	76245	24	603.3	2.30	ok	
uv	HGB	8	76245	24	721.6	2.68	ok	
uv	HGB	9	76245	24	701.3	2.69	ok	
uv	HGB	10	76245	24	721.5	2.84	ok	
uv	HGB	11	76245	24	690.9	2.72	ok	
uv	HGB	12	76245	24	719.9	2.72	ok	
uv	HGB	13	76245	24	720.8	2.77	ok	
uv	HGB	14	76245	24	664.4	2.75	ok	
uv	HGB	15	76245	24	720.4	2.80	ok	
uv	HGB	16	76245	24	721.4	2.81	ok	
uv	HGB	17	76245	24	720.5	2.89	ok	
uv	HGB	18	76245	24	719.2	2.78	ok	
uv	HGB	19	76245	24	720.0	2.79	ok	
uv	HGB	20	76245	24	693.7	2.72	ok	
uv	HGB	21	76245	24	720.9	2.76	ok	
uv	HGB	22	76245	24	721.3	2.99	ok	
uv	HGB	23	76245	24	428.4	1.87	ok	
uv	HGB	24	76245	24	719.3	2.85	ok	
uv	HGB	25	76245	24	664.8	2.68	ok	
uv	HGB	26	76245	24	709.1	2.73	ok	
uv	HGB	27	76245	24	720.3	2.84	ok	
uv	HGB	28	76245	24	719.8	2.81	ok	
uv	HGB	29	76245	24	720.9	2.72	ok	
uv	HGB	30	76245	24	610.8	2.53	ok	
uv	HGB	31	76245	24	722.8	2.82	ok	
uv	HGB	32	76245	24	720.8	2.76	ok	
uv	HGB	33	76245	24	611.2	2.41	ok	
uv	HGB	34	76245	24	721.4	2.87	ok	
uv	HGB	35	76245	24	720.7	2.80	ok	
uv	HGB	36	76245	24	721.0	2.79	ok	
uv	HGB	37	76245	24	721.8	2.81	ok	
uv	HGB	38	76245	24	720.8	2.83	ok	
uv	HGB	39	76245	24	719.7	2.71	ok	
uv	HGB	40	76245	24	723.3	2.83	ok	
uv	HGB	41	76245	24	720.7	2.81	ok	
uv	HGB	42	76245	24	720.4	2.78	ok	
uv	HGB	43	76245	24	720.2	2.88	ok	
uv	HGB	44	76245	24	720.2	2.78	ok	
uv	HGB	45	76245	24	720.2	2.75	ok	
uv	HGB	46	76245	24	720.0	2.82	ok	
uv	HGB	47	76245	24	721.5	3.17	ok	
uv	HGB	48	76245	24	719.9	2.80	ok	
uv	HGB	49	76245	24	721.6	2.80	ok	
uv	HGB	50	76245	24	472.9	2.02	ok	
